Date,Open,High,Low,Close,Adj Close,Volume,Entity
11/18/2020,1180,1205,1180,1190,1190,72626600,ADRO
11/19/2020,1195,1255,1180,1240,1240,221812500,ADRO
11/20/2020,1245,1260,1210,1215,1215,121792400,ADRO
11/23/2020,1230,1290,1225,1290,1290,195985700,ADRO
11/24/2020,1320,1335,1290,1300,1300,159576400,ADRO
11/25/2020,1335,1350,1275,1300,1300,152184000,ADRO
11/26/2020,1335,1365,1325,1360,1360,135992700,ADRO
11/27/2020,1385,1410,1375,1390,1390,163284800,ADRO
11/30/2020,1400,1475,1295,1390,1390,452796900,ADRO
12/1/2020,1410,1425,1340,1390,1390,191809000,ADRO
12/2/2020,1400,1410,1370,1390,1390,111410600,ADRO
12/3/2020,1405,1430,1375,1375,1375,147801800,ADRO
12/4/2020,1405,1460,1360,1435,1435,403854300,ADRO
12/7/2020,1500,1530,1475,1485,1485,277745100,ADRO
12/8/2020,1510,1545,1485,1545,1545,414707600,ADRO
12/10/2020,1580,1600,1525,1545,1545,321869700,ADRO
12/11/2020,1570,1575,1530,1535,1535,108605000,ADRO
12/14/2020,1560,1585,1555,1570,1570,175731000,ADRO
12/15/2020,1570,1575,1530,1530,1530,143516900,ADRO
12/16/2020,1550,1570,1545,1555,1555,183469700,ADRO
12/17/2020,1555,1555,1455,1490,1490,255575900,ADRO
12/18/2020,1490,1500,1465,1480,1480,136218100,ADRO
12/21/2020,1490,1595,1470,1555,1555,289216400,ADRO
12/22/2020,1555,1560,1470,1470,1470,193705300,ADRO
12/23/2020,1500,1540,1400,1490,1490,177123600,ADRO
12/28/2020,1515,1520,1460,1505,1505,98726000,ADRO
12/29/2020,1530,1540,1470,1490,1490,99547900,ADRO
12/30/2020,1490,1490,1425,1430,1430,82195800,ADRO
1/4/2021,1430,1460,1360,1455,1455,110366200,ADRO
1/5/2021,1455,1470,1420,1425,1425,107023500,ADRO
1/6/2021,1415,1420,1340,1375,1375,203948800,ADRO
1/7/2021,1370,1430,1360,1405,1405,204243100,ADRO
1/8/2021,1450,1485,1430,1445,1445,165263900,ADRO
1/11/2021,1490,1540,1470,1525,1525,278542900,ADRO
1/12/2021,1530,1535,1470,1475,1475,183107400,ADRO
1/13/2021,1530,1540,1490,1515,1515,204773900,ADRO
1/14/2021,1525,1535,1490,1495,1495,105347800,ADRO
1/15/2021,1495,1495,1450,1455,1455,86423600,ADRO
1/18/2021,1450,1485,1425,1440,1440,101719800,ADRO
1/19/2021,1440,1460,1390,1415,1415,80577200,ADRO
1/20/2021,1400,1440,1385,1415,1415,77779700,ADRO
1/21/2021,1425,1435,1405,1410,1410,46712900,ADRO
1/22/2021,1410,1420,1345,1350,1350,92579500,ADRO
1/25/2021,1350,1350,1260,1295,1295,142274300,ADRO
1/26/2021,1290,1335,1230,1260,1260,138670800,ADRO
1/27/2021,1260,1285,1215,1245,1245,119157300,ADRO
1/28/2021,1230,1275,1190,1200,1200,201003600,ADRO
1/29/2021,1220,1255,1160,1200,1200,192575300,ADRO
2/1/2021,1205,1235,1165,1230,1230,165569500,ADRO
2/2/2021,1230,1265,1185,1200,1200,176841000,ADRO
2/3/2021,1200,1210,1155,1170,1170,173080500,ADRO
2/4/2021,1170,1210,1150,1165,1165,296042000,ADRO
2/5/2021,1185,1230,1175,1210,1210,225757600,ADRO
2/8/2021,1240,1255,1215,1220,1220,171974800,ADRO
2/9/2021,1235,1235,1200,1210,1210,124214600,ADRO
2/10/2021,1220,1225,1195,1200,1200,70872800,ADRO
2/11/2021,1200,1230,1195,1215,1215,79109900,ADRO
2/15/2021,1230,1240,1210,1215,1215,75301100,ADRO
2/16/2021,1215,1235,1205,1210,1210,72063600,ADRO
2/17/2021,1210,1220,1170,1180,1180,123787800,ADRO
2/18/2021,1180,1200,1165,1175,1175,68479800,ADRO
2/19/2021,1175,1185,1160,1180,1180,55397800,ADRO
2/22/2021,1195,1230,1185,1210,1210,168255300,ADRO
2/23/2021,1225,1230,1200,1205,1205,96889300,ADRO
2/24/2021,1215,1220,1185,1185,1185,74830000,ADRO
2/25/2021,1200,1215,1190,1200,1200,79549900,ADRO
2/26/2021,1180,1195,1175,1180,1180,89372000,ADRO
3/1/2021,1195,1200,1180,1185,1185,96722600,ADRO
3/2/2021,1200,1220,1185,1185,1185,125690800,ADRO
3/3/2021,1195,1200,1185,1185,1185,53347200,ADRO
3/4/2021,1185,1235,1180,1220,1220,242780100,ADRO
3/5/2021,1210,1220,1175,1180,1180,157251500,ADRO
3/8/2021,1190,1200,1170,1175,1175,73736900,ADRO
3/9/2021,1175,1190,1160,1165,1165,84429300,ADRO
3/10/2021,1175,1185,1160,1170,1170,53621900,ADRO
3/12/2021,1190,1225,1185,1210,1210,170821500,ADRO
3/15/2021,1225,1260,1220,1235,1235,173813000,ADRO
3/16/2021,1245,1250,1205,1220,1220,99266400,ADRO
3/17/2021,1215,1235,1215,1230,1230,67741700,ADRO
3/18/2021,1245,1270,1235,1270,1270,174402800,ADRO
3/18/2020,398,410,388,388,386.206299,78790100,ANTM
3/19/2020,362,364,362,362,360.326508,8977100,ANTM
3/20/2020,360,386,338,374,372.271027,164706400,ANTM
3/23/2020,370,370,348,348,346.391205,90136700,ANTM
3/24/2020,348,374,340,364,362.317261,155141100,ANTM
3/26/2020,366,432,366,416,414.076843,267248200,ANTM
3/27/2020,432,505,426,460,457.873444,292787100,ANTM
3/30/2020,450,460,428,432,430.002899,74651200,ANTM
3/31/2020,440,464,434,450,447.919678,89306500,ANTM
4/1/2020,450,462,434,436,433.984406,81224700,ANTM
4/2/2020,436,454,424,452,449.910431,83577100,ANTM
4/3/2020,458,472,450,464,461.85495,115728200,ANTM
4/6/2020,466,540,466,540,537.503601,224870500,ANTM
4/7/2020,580,590,520,555,552.434265,256413700,ANTM
4/8/2020,555,555,520,520,517.596069,90030300,ANTM
4/9/2020,510,540,492,520,517.596069,105623600,ANTM
4/13/2020,520,555,510,535,532.526733,72240600,ANTM
4/14/2020,550,560,540,555,552.434265,84352000,ANTM
4/15/2020,560,565,525,525,522.572937,87961700,ANTM
4/16/2020,535,535,494,505,502.665405,100312000,ANTM
4/17/2020,520,530,500,520,517.596069,94759700,ANTM
4/20/2020,515,520,496,500,497.688538,80546300,ANTM
4/21/2020,500,500,476,482,479.771759,92065100,ANTM
4/22/2020,476,496,466,492,489.725525,74583700,ANTM
4/23/2020,500,505,490,498,495.697784,86760800,ANTM
4/24/2020,496,515,486,494,491.716278,86275300,ANTM
4/27/2020,494,510,494,505,502.665405,56062600,ANTM
4/28/2020,505,510,490,492,489.725525,45388100,ANTM
4/29/2020,492,500,492,498,495.697784,25492400,ANTM
4/30/2020,500,525,500,510,507.642303,85174700,ANTM
5/4/2020,490,505,484,494,491.716278,64158400,ANTM
5/5/2020,500,505,494,500,497.688538,37904200,ANTM
5/6/2020,505,510,498,500,497.688538,40511700,ANTM
5/8/2020,505,540,500,535,532.526733,185061500,ANTM
5/11/2020,545,555,530,530,527.549866,113381700,ANTM
5/12/2020,525,530,510,515,512.619202,47048500,ANTM
5/13/2020,515,540,505,535,532.526733,69026200,ANTM
5/14/2020,530,550,510,515,512.619202,81959800,ANTM
5/15/2020,525,530,505,520,517.596069,67020800,ANTM
5/18/2020,525,535,520,525,522.572937,46702500,ANTM
5/19/2020,535,545,525,525,522.572937,61033100,ANTM
5/20/2020,530,535,510,520,517.596069,41916400,ANTM
5/26/2020,530,530,515,530,527.549866,32358800,ANTM
5/27/2020,530,535,515,520,517.596069,43519100,ANTM
5/28/2020,520,540,515,525,522.572937,71853100,ANTM
5/29/2020,525,535,520,535,532.526733,58928900,ANTM
6/2/2020,540,570,535,555,552.434265,137754600,ANTM
6/3/2020,565,580,545,555,552.434265,147855500,ANTM
6/4/2020,565,590,550,570,567.364929,214067000,ANTM
6/5/2020,575,600,575,590,587.272461,187740200,ANTM
6/8/2020,595,645,595,630,627.087524,246393600,ANTM
6/9/2020,640,650,605,610,607.179993,137515700,ANTM
6/10/2020,615,620,580,595,592.249329,78090100,ANTM
6/11/2020,600,605,570,580,577.318726,73061000,ANTM
6/12/2020,560,580,545,580,577.318726,58198800,ANTM
6/15/2020,585,595,560,565,562.388062,44814200,ANTM
6/16/2020,575,610,570,610,607.179993,110517900,ANTM
6/17/2020,620,645,605,635,632.064453,195616600,ANTM
6/18/2020,625,640,620,620,617.133789,88492800,ANTM
6/19/2020,625,630,605,610,607.179993,59835400,ANTM
6/22/2020,610,625,600,605,605,49752700,ANTM
6/23/2020,600,615,590,595,595,31468100,ANTM
6/24/2020,605,620,600,605,605,58104500,ANTM
6/25/2020,595,605,595,600,600,18727500,ANTM
6/26/2020,610,615,605,605,605,29811500,ANTM
6/29/2020,610,610,595,595,595,25880900,ANTM
6/30/2020,605,610,595,605,605,30619800,ANTM
7/1/2020,610,615,595,600,600,21393300,ANTM
7/2/2020,600,610,590,610,610,41575700,ANTM
7/3/2020,615,615,600,600,600,30660200,ANTM
7/6/2020,605,640,600,640,640,133412200,ANTM
7/7/2020,645,670,640,650,650,234409300,ANTM
7/8/2020,650,675,645,660,660,116131400,ANTM
7/9/2020,660,670,650,650,650,66422900,ANTM
7/10/2020,650,665,640,645,645,44571600,ANTM
7/13/2020,645,685,645,675,675,148923800,ANTM
7/14/2020,670,680,660,660,660,77241200,ANTM
7/15/2020,665,675,655,655,655,38423500,ANTM
7/16/2020,655,665,650,650,650,19244200,ANTM
7/17/2020,655,660,645,660,660,21499000,ANTM
7/20/2020,660,665,650,650,650,31533100,ANTM
7/21/2020,655,690,650,685,685,158932500,ANTM
7/22/2020,690,705,685,685,685,192426100,ANTM
7/23/2020,695,705,685,690,690,90668500,ANTM
7/24/2020,705,705,685,685,685,134255200,ANTM
7/27/2020,695,725,690,725,725,197203700,ANTM
7/28/2020,730,755,715,720,720,186698000,ANTM
7/29/2020,720,740,710,730,730,79691500,ANTM
7/30/2020,730,740,720,730,730,68996600,ANTM
8/3/2020,740,750,680,700,700,110870200,ANTM
8/4/2020,700,715,700,705,705,43434000,ANTM
8/5/2020,730,750,715,750,750,182812800,ANTM
8/6/2020,765,840,755,835,835,446658400,ANTM
8/7/2020,840,865,835,840,840,263824700,ANTM
8/10/2020,840,840,800,825,825,100818900,ANTM
8/11/2020,825,830,790,800,800,133787400,ANTM
8/12/2020,795,795,750,770,770,188570300,ANTM
8/13/2020,770,790,770,770,770,99028400,ANTM
8/14/2020,780,805,775,785,785,209371300,ANTM
8/18/2020,800,820,795,805,805,178541000,ANTM
8/19/2020,810,815,795,795,795,88404200,ANTM
8/24/2020,805,805,775,780,780,116065100,ANTM
8/25/2020,780,795,775,790,790,69089200,ANTM
8/26/2020,790,800,780,785,785,72181500,ANTM
8/27/2020,790,805,785,795,795,87815900,ANTM
8/28/2020,800,830,790,820,820,278492100,ANTM
8/31/2020,830,855,810,820,820,229956400,ANTM
9/1/2020,820,840,815,840,840,131125800,ANTM
9/2/2020,840,855,830,850,850,126138900,ANTM
9/3/2020,850,855,825,830,830,96483000,ANTM
9/4/2020,820,830,800,825,825,93463300,ANTM
9/7/2020,825,830,810,825,825,35138000,ANTM
9/8/2020,825,840,820,825,825,60255800,ANTM
9/9/2020,810,810,780,795,795,109624500,ANTM
9/10/2020,785,790,740,740,740,121922400,ANTM
9/11/2020,710,780,700,775,775,114696400,ANTM
9/14/2020,780,805,780,800,800,61791200,ANTM
9/15/2020,810,820,785,805,805,66313200,ANTM
9/16/2020,805,810,785,795,795,31285000,ANTM
9/17/2020,805,805,765,775,775,47543300,ANTM
9/18/2020,780,795,775,790,790,28855300,ANTM
9/21/2020,785,790,760,765,765,34817700,ANTM
9/22/2020,750,755,725,735,735,52789600,ANTM
9/23/2020,755,780,735,750,750,95405500,ANTM
9/24/2020,750,750,705,720,720,69787900,ANTM
9/25/2020,735,735,715,730,730,42231400,ANTM
9/28/2020,730,740,715,725,725,23365500,ANTM
9/29/2020,735,740,715,715,715,47576900,ANTM
9/30/2020,720,730,695,705,705,40688700,ANTM
10/1/2020,710,740,710,735,735,45502700,ANTM
10/2/2020,735,735,705,725,725,56903300,ANTM
10/5/2020,735,735,715,720,720,20089800,ANTM
10/6/2020,730,735,715,720,720,39918300,ANTM
10/7/2020,715,720,710,715,715,22001600,ANTM
10/8/2020,720,730,715,720,720,28843100,ANTM
10/9/2020,730,775,725,765,765,175465400,ANTM
10/12/2020,780,790,765,780,780,108451600,ANTM
10/13/2020,780,780,760,765,765,47798000,ANTM
10/14/2020,775,955,775,955,955,1116793100,ANTM
10/15/2020,1020,1180,920,935,935,1510069900,ANTM
10/16/2020,960,995,920,940,940,638756000,ANTM
10/19/2020,970,1055,950,1055,1055,1158293800,ANTM
10/20/2020,1055,1065,1020,1035,1035,789265700,ANTM
10/21/2020,1050,1145,1050,1100,1100,1370011500,ANTM
10/22/2020,1100,1120,1075,1085,1085,465407900,ANTM
10/23/2020,1095,1120,1060,1085,1085,392722300,ANTM
10/26/2020,1090,1095,1060,1060,1060,183290100,ANTM
10/27/2020,1050,1095,1050,1055,1055,333734100,ANTM
11/2/2020,1065,1125,1055,1100,1100,571253300,ANTM
11/3/2020,1115,1130,1105,1110,1110,317572700,ANTM
11/4/2020,1125,1145,1100,1105,1105,410216500,ANTM
11/5/2020,1130,1145,1115,1125,1125,240422000,ANTM
11/6/2020,1140,1140,1115,1125,1125,202159600,ANTM
11/9/2020,1140,1245,1135,1240,1240,846313500,ANTM
11/10/2020,1250,1255,1195,1200,1200,604934300,ANTM
11/11/2020,1210,1240,1185,1195,1195,628878500,ANTM
11/12/2020,1190,1205,1165,1170,1170,200055900,ANTM
11/13/2020,1160,1180,1155,1170,1170,172842400,ANTM
11/16/2020,1200,1210,1180,1185,1185,213486900,ANTM
11/17/2020,1185,1215,1175,1190,1190,300731400,ANTM
11/18/2020,1220,1280,1215,1240,1240,853419900,ANTM
11/19/2020,1240,1245,1220,1235,1235,286394100,ANTM
11/20/2020,1235,1240,1200,1210,1210,220936900,ANTM
11/23/2020,1225,1255,1215,1255,1255,371401400,ANTM
11/24/2020,1255,1255,1220,1235,1235,351292500,ANTM
11/25/2020,1235,1240,1195,1205,1205,303117600,ANTM
11/26/2020,1200,1225,1195,1210,1210,147126800,ANTM
11/27/2020,1230,1250,1215,1230,1230,308954300,ANTM
11/30/2020,1225,1225,1145,1145,1145,446062400,ANTM
12/1/2020,1150,1180,1105,1155,1155,240765000,ANTM
12/2/2020,1170,1260,1170,1245,1245,803420400,ANTM
12/3/2020,1245,1300,1235,1255,1255,615002200,ANTM
12/4/2020,1265,1270,1235,1245,1245,155578400,ANTM
12/7/2020,1270,1295,1260,1280,1280,367250700,ANTM
12/8/2020,1295,1320,1285,1300,1300,377826500,ANTM
12/10/2020,1330,1425,1330,1395,1395,686885600,ANTM
12/11/2020,1475,1500,1435,1450,1450,487755900,ANTM
12/14/2020,1500,1540,1490,1525,1525,417804400,ANTM
12/15/2020,1525,1565,1495,1560,1560,462918300,ANTM
12/16/2020,1595,1925,1590,1815,1815,1272844700,ANTM
12/17/2020,1840,1880,1775,1815,1815,542949200,ANTM
12/18/2020,1845,1960,1810,1950,1950,1083731700,ANTM
12/21/2020,1965,2020,1925,1965,1965,627035000,ANTM
12/22/2020,1950,1960,1830,1835,1835,678922000,ANTM
12/23/2020,1830,1850,1720,1790,1790,659296400,ANTM
12/28/2020,1825,2000,1780,2000,2000,992175000,ANTM
12/29/2020,2050,2070,1935,1945,1945,739754900,ANTM
12/30/2020,1945,1985,1905,1935,1935,535943500,ANTM
1/4/2021,1970,2200,1940,2190,2190,1040753400,ANTM
1/5/2021,2190,2340,2130,2230,2230,1139014700,ANTM
1/6/2021,2270,2290,2130,2220,2220,629211500,ANTM
1/7/2021,2250,2740,2240,2600,2600,1982112200,ANTM
1/8/2021,2640,2750,2560,2600,2600,1052618000,ANTM
1/11/2021,2560,2650,2530,2580,2580,521301600,ANTM
1/12/2021,2580,2780,2550,2770,2770,1147172800,ANTM
1/13/2021,2850,3130,2850,3120,3120,1280852600,ANTM
1/14/2021,3140,3440,3060,3180,3180,1499058400,ANTM
1/15/2021,3300,3380,3040,3120,3120,915912100,ANTM
1/18/2021,3000,3140,2910,2910,2910,930618200,ANTM
1/19/2021,2810,2850,2710,2710,2710,360498600,ANTM
1/20/2021,2540,3200,2530,3190,3190,1983213100,ANTM
1/21/2021,3290,3340,3030,3090,3090,1273877400,ANTM
1/22/2021,3090,3090,2880,2880,2880,894766800,ANTM
1/25/2021,2760,2960,2680,2870,2870,1222991300,ANTM
1/26/2021,2900,2930,2670,2670,2670,786819300,ANTM
1/27/2021,2620,2740,2490,2550,2550,1341364800,ANTM
1/28/2021,2470,2570,2380,2380,2380,731854900,ANTM
1/29/2021,2370,2440,2220,2220,2220,450321200,ANTM
2/1/2021,2090,2640,2070,2600,2600,2186652700,ANTM
2/2/2021,2600,2630,2420,2420,2420,942434300,ANTM
2/3/2021,2390,2520,2290,2330,2330,948031000,ANTM
2/4/2021,2400,2520,2270,2400,2400,874173400,ANTM
2/5/2021,2450,2690,2370,2660,2660,1157647700,ANTM
2/8/2021,2770,2830,2700,2830,2830,977135300,ANTM
2/9/2021,2850,2860,2640,2730,2730,877784900,ANTM
2/10/2021,2790,2970,2720,2930,2930,1401720500,ANTM
2/11/2021,2940,2960,2850,2870,2870,620114900,ANTM
2/15/2021,2900,2950,2880,2900,2900,361594300,ANTM
2/16/2021,2910,2940,2860,2870,2870,349266100,ANTM
2/17/2021,2870,2890,2720,2750,2750,443154100,ANTM
2/18/2021,2700,2820,2670,2780,2780,349948000,ANTM
2/19/2021,2800,2910,2730,2880,2880,482821700,ANTM
2/22/2021,2940,3040,2910,2950,2950,834610300,ANTM
2/23/2021,2940,3010,2920,2940,2940,327105100,ANTM
2/24/2021,2930,2970,2820,2910,2910,386381000,ANTM
